,Module,Title,Prereq,Preclu
64,FIN6003,Asset Pricing and Microstructure Theory,,
65,MKT1003,Principles of Marketing,,Students who have taken EC3230/(EC2210) or CS3261/(IC3243) or PR4201 or BK2003 or BZ1003 or BH1003 are not allowed to take MKT1003. All BSc(Real Estate) students are not allowed to take MKT1003.
66,MKT1705,Principles of Marketing,,MKT1003; MKT1003X; RST and EMG students
67,MKT2401A,Asian Markets And Marketing Management,MKT1003 or BH1003 or BZ1003 or BK2003,BH2401 or BZ3601 or BK3200 or MKT2401B or MKT2401
68,MKT2401B,Asian Markets And Marketing Management,MKT1003 or BH1003 or BZ1003 or BK2003,BH2401 or BZ3601 or BK3200 or MKT2401A or MKT2401
69,MKT2413,Marketing Research,MKT1003 or BH1003 or BZ1003 or BK2003,BH2413 or BZ3614 or BK3202 or MKT2413A or MKT2413B
70,MKT3402A,Consumer Behaviour,MKT1003 or BH1003 or BZ1003 or BK2003,BH3402 or BZ3602 or BK3201 or MKT3402A or MKT3402B
71,MKT3402B,Consumer Behaviour,MKT1003 or BH1003 or BZ1003 or BK2003,BH3402 or BZ3602 or BK3201 or MKT3402A or MKT3402B
72,MKT3402C,Consumer Behaviour,MKT1003 or BH1003 or BZ1003 or BK2003,BH3420 or BZ3605 or BK3203 or MKT3402A or MKT3402B
73,MKT3412,Services Marketing,MKT1003 or BH1003 or BZ1003 or BK2003,BH3412 or BH3412A or BH3412B or BZ3612 or BK3205 or MKT3412A or MKT3412B
74,MKT3415,Marketing in a Digital Age,MKT1003,
75,MKT3417,Customer Relationship Management,MKT1003 Marketing or MKT1003X Marketing,CS4266
76,MKT3418,Product And Brand Management,MKT1003 or BH1003 or BZ1003 or BK2003,BH3418 or BZ3603 or MKT3418A or MKT3418B
77,MKT3420,Advertising & Promotion Management,MKT1003 Marketing or MKT1003X Marketing,
78,MKT3421,Marketing Analysis & Decision Making,,
79,MKT4413,Pricing Strategy,MKT2401 Asian Markets & Marketing Management,
80,MKT4417,Consumer Decision Making,Nil,Nil
81,MNO1001,Management And Organisation,,"Students who have taken BE2106, EG1423, CS1303, BK2002 or BZ1001 or BH1001 are not allowed to take MNO1001. Students who took or are taking HR2001, HR2101, HR3111 or HR3308 cannot take MNO1001"
82,MNO1706,Organisational Behavior,,MNO1001; MNO1001X
83,MNO2007,Leadership and Ethics,MNO1001 Management and Organization,NIL
84,MNO2009,Entrepreneurship,MNO1001 Management and Organisation,
85,MNO2302,Human Resource Management,MNO1001 or BH1001 or BZ1001 or BK2002 or HR2001 or HR2101 or HR3111 or HR3308,BH2302 or BZ3504 or BK3300 or MNO2302A/B or PL3239 or PS3245
86,MNO3301,Organisational Behaviour,MNO1001 or BH1001 or BZ1001 or BK2002 or HR2001 or HR2101 or HR3111 or HR3308,BH3301 or BZ3501 or BK3309M or PS3243
87,MNO3303,Organisational Effectiveness,MNO1001 or BH1001 or BZ1001 or BK2002 or HR2001 or HR2101 or HR3111 or HR3308,BH3303 or BZ3502 or BK4309D or BK3309N
88,MNO3313J,TILHCM: Employee and Organizational Misbehaviours,MNO1001: Management and Organisation,NIL
89,MNO3331,Business with a Social Conscience,,
90,MNO3332,Leading Groups and Teams,,
91,MNO4313D,SILHCM: Corp Entrepreneurship & Busi Model Evaluation,MNO1001 Management and Organisation,
92,MNO4313E,SIMHC: Managerial and Organisational Cognition,MNO1001 or HR2001 or HR2101 or HR3111 or HR3308,
93,TR2201,Entrepreneurial Marketing,,TR3003
94,TR2202,Technological Innovation,,
95,TR3001,New Product Development,,
96,TR3002N,New Venture Creation,,"TR3004, TR3005"
97,TR3202,Start-up Internship Programme,,TR3102
98,TR3203E,Start-up Case Study & Analysis,,
99,TR3203N,Start-up Case Study & Analysis,,TR3103
100,TR3203P,Start-up Case Study & Analysis,,
101,TR3203T,Start-up Case Study & Analysis,,TR3103
102,TR4049N,Seminars in Entrepreneurship,"Depends on the topics offered, there can be prerequisite(s) on existing modules offering similar topics for example new venture creation or new product development.",
103,TR4049S,Seminars in Entrepreneurship,"Depends on the topics offered, there can be prerequisite(s) on existing modules offering similar topics for example new venture creation or new product development.",
104,TR4049T,Seminars in Entrepreneurship,"Depends on the topics offered, there can be prerequisite(s) on existing modules offering similar topics for example new venture creation or new product development.",
